metric,delta,ci_lo,ci_hi,significant
pointing_game,0.05747126436781609,0.03389591788016233,0.08359398658879515,True
pixel_ap,0.0767314855966812,0.06180436713992629,0.09409779072858868,True
dice,0.004068189695919712,0.001986523573534565,0.0061251010353297825,True
