size_bin,n,pg_control,pg_selected,sens_control,sens_selected,pg_gain
large,40,0.2,0.4,0.775,0.7,0.2
medium,53,0.11320754716981132,0.1509433962264151,0.7358490566037735,0.7169811320754716,0.037735849056603765
small,52,0.038461538461538464,0.07692307692307693,0.6923076923076923,0.6538461538461539,0.038461538461538464
