lambda,epoch,cls_loss,att_loss,n_supervised,val_auc
0.0,1,0.6958356252973359,0.0,998,0.5191901627127066
0.0,2,0.6825484285232115,0.0,998,0.5429139237361817
0.0,3,0.6663375839406711,0.0,998,0.536703515091293
0.0,4,0.6650653117390387,0.0,998,0.5410508011427152
0.0,5,0.666169171158639,0.0,998,0.5439075891193641
0.0,6,0.6554701902773356,0.0,998,0.5463917525773195
0.0,7,0.6371517453615604,0.0,998,0.5462675444044218
0.0,8,0.6344767678475857,0.0,998,0.550117997764253
0.0,9,0.6204896703093081,0.0,998,0.5549621165072661
0.0,10,0.6136571592540542,0.0,998,0.5635324804372127
0.0,11,0.589032057917311,0.0,998,0.567879766488635
0.0,12,0.5794139539027191,0.0,998,0.5758290895540926
0.0,13,0.5798838113626903,0.0,998,0.5925971928952926
0.0,14,0.5539288289426736,0.0,998,0.602906471245808
0.0,15,0.5480317280022561,0.0,998,0.6066327164327412
0.0,16,0.533542331857527,0.0,998,0.6189293255496212
0.0,17,0.5294923609943191,0.0,998,0.622407154390759
0.0,18,0.5097840741687906,0.0,998,0.637933176002981
0.0,19,0.5097397578318384,0.0,998,0.6455098745497454
0.1,1,0.6954186582542623,0.834371131204651,998,0.5258974040491864
0.1,2,0.6823916304236248,0.8126128873748626,998,0.5481306669978885
0.1,3,0.6667329477311088,0.7957424855303907,998,0.5390634703763508
0.1,4,0.6656341987717843,0.7870101059128144,998,0.5444044218109552
0.1,5,0.6663436236889673,0.7995929561540455,998,0.5504906222829462
0.1,6,0.6556787899740529,0.7958888909023606,998,0.5499937895913551
0.1,7,0.6380286539428921,0.7915968188422476,998,0.5492485405539684
0.1,8,0.6354900327441128,0.7866933376253965,998,0.5526021612222084
0.1,9,0.6224898929600484,0.7802717984917169,998,0.5562041982362439
0.1,10,0.6157904859954805,0.7792637814022974,998,0.5646503539932928
0.1,11,0.5916605476080861,0.7787165116809891,998,0.570612346292386
0.1,12,0.5834593042433546,0.7766368271473175,998,0.576201714072786
0.1,13,0.5829213411608386,0.7719278696902051,998,0.5921003602037014
0.1,14,0.5568703779938332,0.7759651729840793,998,0.6053906347037635
0.1,15,0.5506537426209926,0.7693122484999334,998,0.6065085082598436
0.1,16,0.5384060599824341,0.767891498569974,998,0.6180598683393367
0.1,17,0.5346999526817837,0.7679100153680316,998,0.6224071543907589
0.1,18,0.515234924491307,0.765756773387263,998,0.6360700534095144
0.1,19,0.5161392328060886,0.7615578940851178,998,0.6461309154142343
0.5,1,0.6942084082867507,0.7943492557457789,998,0.5412992174885107
0.5,2,0.6832875869707421,0.7415817886411785,998,0.5570736554465283
0.5,3,0.6687343898667936,0.7172812794396777,998,0.5477580424791951
0.5,4,0.6682958195143717,0.7072068449251637,998,0.5522295367035152
0.5,5,0.6676381961943194,0.7152123408231563,998,0.5611725251521551
0.5,6,0.6568416519804754,0.6955927793750304,998,0.5610483169792573
0.5,7,0.6406556627049432,0.6845900364414246,998,0.5532232020866974
0.5,8,0.6388494634378762,0.6787705788750925,998,0.5570736554465283
0.5,9,0.6282502527922024,0.6718737388660531,998,0.5590609862128928
0.5,10,0.625243443687341,0.6721098251596004,998,0.5603030679418705
1.0,1,0.6932627407853429,0.7697257041214464,998,0.5518569121848218
1.0,2,0.6848146853619366,0.7108763213267546,998,0.5590609862128928
1.0,3,0.6709504712773549,0.6904365778686049,998,0.5496211650726618
1.0,4,0.6708503527146765,0.6827581825858366,998,0.5509874549745374
1.0,5,0.6700133986409565,0.6860015524293712,998,0.5653956030306795
1.0,6,0.6604452232992388,0.6670012762527427,998,0.5636566886101105
1.0,7,0.6460393003686965,0.6585754767090142,998,0.5534716184324928
1.0,8,0.6452320799387488,0.6535770951029294,998,0.5562041982362439
1.0,9,0.6363545135018034,0.6466817231718189,998,0.5564526145820395
1.0,10,0.63372913068187,0.6464454974822387,998,0.5596820270773817
