phase,epoch,train_loss,train_auc,val_loss,val_auc,val_pr_auc,best_so_far
head,1,0.913421630859375,0.4891493055555556,0.8764577607313792,0.556640625,0.38445207135939896,True
head,2,0.8898928037711552,0.5216145833333334,0.8751929303010305,0.533203125,0.36671847152607906,False
head,3,0.8993323615619114,0.5103298611111111,0.8912283678849539,0.517578125,0.3355943614662812,False
head,4,0.8926109905753817,0.5670138888888889,0.8872352739175161,0.408203125,0.3639297030170572,False
head,5,0.8979558306080955,0.4917534722222222,0.8923567235469818,0.419921875,0.34672275425866644,False
finetune,1,0.8816691594464439,0.5904513888888889,0.8958091735839844,0.40625,0.3384631300503562,False
finetune,2,0.8741739796740668,0.6124131944444443,0.8989765743414561,0.412109375,0.3399624917738995,False
finetune,3,0.8801622433321816,0.5877604166666668,0.8984541495641073,0.419921875,0.34585590380205405,False
finetune,4,0.8746844764266696,0.6091145833333333,0.900080144405365,0.427734375,0.34645405593615314,False
finetune,5,0.877881863287517,0.5855902777777778,0.9007726113001505,0.4140625,0.34244848182537874,False
finetune,6,0.8840711074216026,0.5705729166666667,0.8977964520454407,0.4375,0.3509581246784479,False
finetune,7,0.8760166849408831,0.592013888888889,0.9082659383614858,0.41796875,0.3453689434554496,False
