Backbone,Selected lambda,Delta Pointing Game [95% CI],Delta Pixel-AP [95% CI],Delta AUC [95% CI]
ResNet-50,0.5,"+0.040 [+0.006, +0.076]","+0.057 [+0.040, +0.075]","+0.004 [-0.022, +0.030]"
ConvNeXt-Tiny,0.1,"+0.058 [+0.034, +0.084]","+0.077 [+0.062, +0.094]","-0.004 [-0.009, +0.001]"
