lambda,epoch,cls_loss,att_loss,n_supervised,val_auc
0.0,1,0.683739165824215,0.0,998,0.5435349646006707
0.0,2,0.6544313730227165,0.0,998,0.5680039746615327
0.0,3,0.6278984440042221,0.0,998,0.5693702645634082
0.0,4,0.6195145016279139,0.0,998,0.5754564650353994
0.0,5,0.5875364643238932,0.0,998,0.5942118991429637
0.0,6,0.5397825304606662,0.0,998,0.6169419947832567
0.0,7,0.5091910004105373,0.0,998,0.6478698298348031
0.0,8,0.4505059749143221,0.0,998,0.6414110048441187
0.0,9,0.4191908406485386,0.0,998,0.651844491367532
0.0,10,0.379607428889633,0.0,998,0.6497329524282698
0.0,11,0.35555617216368385,0.0,998,0.672338839895665
0.0,12,0.2970952549851814,0.0,998,0.6647621413489008
0.0,13,0.2623103532787735,0.0,998,0.6662526394236741
0.0,14,0.2380212521292163,0.0,998,0.6678673456713451
0.0,15,0.18424133467997517,0.0,998,0.6619053533722518
0.0,16,0.17036997497819018,0.0,998,0.6636442677928207
0.1,1,0.6825790913415795,0.8342035666615786,998,0.5412992174885108
0.1,2,0.6555111900496551,0.8287039500080751,998,0.5656440193764749
0.1,3,0.6303187115321718,0.8273484269698301,998,0.5677555583157372
0.1,4,0.6232767876390045,0.8356073411528715,998,0.5789342938765372
0.1,5,0.5920384604232182,0.8686242094618046,998,0.5907340703018259
0.1,6,0.5478013145084272,0.9167912695594207,998,0.6114768351757546
0.1,7,0.5185587199442053,0.9596553744080072,998,0.6391752577319588
0.1,8,0.46407993315062446,1.0253014794451918,998,0.6303564774562166
0.1,9,0.4350156249260471,1.0407927499744363,998,0.6417836293628121
0.1,10,0.401702010722301,1.0723437508026918,998,0.6461309154142343
0.1,11,0.37645293165398824,1.0770176494408228,998,0.6646379331760028
0.1,12,0.32233488662513976,1.1012066713793722,998,0.6586759408769096
0.1,13,0.28693437085732404,1.1240049161031873,998,0.666873680288163
0.1,14,0.2567894608349487,1.129314578726201,998,0.6616569370264563
0.1,15,0.24773072357068845,1.1514087864655054,998,0.6612843125077631
0.1,16,0.21148355272585273,1.1161862633868544,998,0.6599180226058874
0.1,17,0.15829474908555835,1.1735870128643058,998,0.6703515091293006
0.1,18,0.14209823240902625,1.1631398238017707,998,0.669109427400323
0.1,19,0.13530470404621536,1.1884468135112274,998,0.6631474351012296
0.5,1,0.6808824185299714,0.8017766979151594,998,0.5380698049931686
0.5,2,0.6596665749313942,0.773116129732323,998,0.5685008073531238
0.5,3,0.6371099325614696,0.7607870860424691,998,0.5730965097503415
0.5,4,0.6327082002083536,0.7547380529448598,998,0.5830331635821636
0.5,5,0.6077113709599489,0.7296466134593099,998,0.5860141597317103
0.5,6,0.572871853378588,0.705826571745003,998,0.5899888212644392
0.5,7,0.5540106544088569,0.6970509979911224,998,0.6073779654701279
0.5,8,0.5121226433228584,0.7015738758988276,998,0.5966960626009191
0.5,9,0.48874405154038564,0.7038242782285075,998,0.6058874673953547
0.5,10,0.462141946227521,0.7027820414436127,998,0.6200471991057012
0.5,11,0.43649639522428174,0.69355228184937,998,0.6272512731337723
0.5,12,0.402039147211641,0.6956330350262369,998,0.6302322692833188
0.5,13,0.367840234718359,0.6933443974516913,998,0.6338343062973545
0.5,14,0.3267393647546886,0.6928249854363038,998,0.642901502918892
0.5,15,0.3052401972684715,0.6843116410031825,998,0.6448888336852564
0.5,16,0.2776600905081752,0.6765343904614688,998,0.6410383803254255
0.5,17,0.2644893235246076,0.6703114168557949,998,0.6438951683020743
0.5,18,0.2200106747597314,0.6684597118464644,998,0.6648863495217986
0.5,19,0.21934653803720347,0.6634297313575516,998,0.6527139485778164
1.0,1,0.6806761417697431,0.7838253440383919,998,0.5368277232641908
1.0,2,0.663158180881522,0.7484070272268896,998,0.5694944727363062
1.0,3,0.6426905551827827,0.7341654858512725,998,0.5711091789839772
1.0,4,0.6395033701729707,0.7251470711283788,998,0.5924729847223947
1.0,5,0.6201225302539248,0.6809970750240143,998,0.5775680039746616
1.0,6,0.5878539806768851,0.6616491935176696,998,0.5794311265681281
1.0,7,0.5730072805759001,0.6545218556581852,998,0.6004223077878524
1.0,8,0.5376715837037642,0.6504765874995497,998,0.591230902993417
1.0,9,0.5213808010125818,0.6476940577756427,998,0.5942118991429636
1.0,10,0.49693303418431706,0.641835534202312,998,0.6094895044093902
1.0,11,0.47518497141172045,0.6337593726380794,998,0.6209166563159856
1.0,12,0.4384781305104863,0.6327007395590475,998,0.62402186063843
1.0,13,0.4189897168544675,0.6295530916693693,998,0.6328406409141721
1.0,14,0.3698419820513757,0.6264787600011769,998,0.6353248043721277
1.0,15,0.35450488650776113,0.6190631102942273,998,0.6397962985964476
1.0,16,0.32506166979826484,0.6129706345483631,998,0.6389268413861632
1.0,17,0.3092406449093351,0.6074503274384386,998,0.645137250031052
1.0,18,0.2674866553066346,0.6063430428146599,998,0.6496087442553721
1.0,19,0.2511620116335908,0.6024211380249991,998,0.6547012793441809
