size_bin,n,pg_control,pg_selected,sens_control,sens_selected,pg_gain
large,40,0.375,0.3,0.85,0.825,-0.07500000000000001
medium,53,0.11320754716981132,0.18867924528301888,0.7924528301886793,0.8301886792452831,0.07547169811320756
small,52,0.0,0.019230769230769232,0.7692307692307693,0.8653846153846154,0.019230769230769232
