model,image_size,preprocessing,threshold,roc_auc,accuracy,balanced_accuracy,sensitivity,specificity,f1
ResNet-50 V1,224,direct resize,0.5,0.7965197956577267,0.7091412742382271,0.7172733077905491,0.7586206896551724,0.6759259259259259,0.676923076923077
ResNet-50 V2,512,breast crop + pad,0.5,0.779469987228608,0.7091412742382271,0.6980044699872285,0.6413793103448275,0.7546296296296297,0.6391752577319587
ResNet-50 V2,512,breast crop + pad,validation Youden J,0.779469987228608,0.6925207756232687,0.6965836526181354,0.7172413793103448,0.6759259259259259,0.6520376175548589
