model,threshold,roc_auc,pr_auc,sensitivity,specificity,balanced_acc,f1
M1_image_only,0.06,0.7873243933588762,0.7366005368930086,0.8068965517241379,0.5509259259259259,0.6789112388250319,0.6518105849582173
M2_metadata_only,0.65,0.8153575989782885,0.7244328974813832,0.7931034482758621,0.7037037037037037,0.7484035759897829,0.7098765432098766
M3_image_meta,0.58,0.859802043422733,0.7854639156047982,0.8482758620689655,0.7916666666666666,0.8199712643678161,0.7859424920127795
M4_roi_meta,0.35,0.8643997445721584,0.8192946938649148,0.8620689655172413,0.6805555555555556,0.7713122605363985,0.7374631268436578
