comparison,delta_auc,ci_low,ci_high,n_boot
Mahalanobis - IsolationForest,0.001697792869269965,-0.04634902474976019,0.05208333333333326,1000
Mahalanobis - OneClassSVM,0.06960950764006801,-0.07176521650326805,0.21334804753820036,1000
IsolationForest - OneClassSVM,0.06791171477079805,-0.08024500000000004,0.2222495894909687,1000
